Merchant_Category,Merchant_ID,Card_Type,Is_Chip,Is_Pin_Used,Distance_From_Home,Device_Type,Amount_Mean_User,Fraud_Flag
7,8229,3,0,0,0.15201726916589695,2,-0.35369497095745256,0
9,2819,3,0,0,-0.853419639314449,1,0.6340714507879033,0
0,8021,3,1,0,-0.5458013654672794,0,-0.5687544442365177,0
8,8393,3,0,0,-0.6799972567428904,2,-0.617944019564883,0
0,3082,3,0,0,-0.7667084480286697,0,2.395538549794062,0
6,2261,0,0,0,-0.8637424001818036,2,-0.1440181953153298,0
6,9742,1,0,0,0.12517809091077478,0,-0.8655481108642302,0
3,3719,2,0,1,-0.9009043393042804,2,-0.6861800634547366,0
2,5443,2,0,0,-0.8224513567123849,0,-0.3396999571014025,0
9,6524,1,1,0,0.7940929951153579,0,-0.9438042534320841,0
4,1119,2,1,0,0.13756540395160033,1,-0.40139395309404924,0
7,2680,2,0,0,0.1912437604618448,2,-0.9903438853084162,0
5,5606,1,0,0,0.09008070396176888,1,-0.9520025159868116,0
8,4329,0,1,0,0.6949944907887533,0,-0.4853640362303496,0
4,8367,0,0,0,-0.2423121959670519,1,1.8752387151339287,0
1,8293,2,0,1,1.9502422122590826,2,-0.4720315082373078,0
3,7291,1,0,0,2.5840597295146592,0,0.571135293802116,0
6,9733,0,1,0,1.3680384993402783,1,-0.11097671289779142,0
4,9856,1,1,0,-0.6965136741306578,1,-0.2775919074443756,0
6,4020,1,0,0,-1.0000028436308854,0,-0.5540969445174594,0
4,7969,1,0,0,1.8222399775038844,2,0.6608193175068627,0
7,7878,1,1,0,-0.8079994914980884,1,-0.025681658035474626,0
7,7443,2,0,0,0.42453815606406053,1,0.15683319722330857,0
9,7264,2,0,1,-0.7130300915184252,1,-0.5585687240927653,0
3,4861,1,1,0,-0.26502226987523214,1,0.7755949932730486,0
8,6765,2,0,0,-0.4838648002631514,0,-0.7484537345775155,0
9,8525,3,0,0,-0.5974151698040528,2,0.8871824558235067,0
9,5990,0,0,0,0.07975794309441425,1,1.67467112010817,0
4,6033,2,0,0,-0.7646438958551987,1,-0.9422308495074394,0
9,5733,2,0,0,-0.41779913071208136,0,-0.9610288858702996,0
7,3538,0,0,0,0.4369254691048861,2,0.10689832529905895,0
8,7186,1,1,0,-0.9380662784267574,1,-0.6386467027838919,0
1,9252,1,0,0,-0.6283834524061169,1,-0.6042802486403371,0
9,8328,0,1,0,-0.2794741350895287,2,-0.30011642678665734,0
0,2293,0,0,0,-1.0000028436308854,0,-0.9682334196305148,0
7,3183,0,0,0,-0.8348386697532105,0,-0.8915506809873055,0
1,7093,2,0,0,-0.9649054566818795,1,-0.23941615958852308,0
1,8639,1,0,1,-0.6841263610898322,0,0.402863884598011,0
6,3123,1,1,0,-0.9938091871104726,1,-0.754167675145962,0
9,1021,2,0,1,0.7755120255541196,0,-0.8596685488300317,0
1,5709,2,0,0,0.6268642690642122,0,-0.6080067316197587,0
6,9643,2,0,0,-0.6221897958857041,1,-1.0189135881506486,0
6,1952,2,0,0,-0.8059349393246173,0,-0.4946388383124656,0
5,8251,0,0,0,-0.5375431567733957,0,-0.6494949087906526,0
6,7986,3,0,0,-0.6015442741509948,1,-0.5541797552503355,0
3,2916,2,0,1,-0.6304480045795878,0,-0.26782024096500334,0
8,6423,1,0,0,1.120292238523766,1,-0.02940814101489614,0
1,1029,3,1,1,0.3626015908599325,1,0.26995265833197357,0
3,4329,1,1,0,-0.8018058349776755,1,-0.8337487894398324,0
4,7350,1,0,0,-0.8575487436613908,2,0.01754554452581632,0
9,1290,2,0,0,-0.2526349568344065,1,-0.29672118673873993,0
6,4552,3,0,0,1.6261075210241454,0,0.1703313466821024,0
1,4473,3,1,0,-0.6221897958857041,2,0.17886085216833408,0
9,1925,2,0,1,-0.2794741350895287,1,-0.640965403304421,0
7,6101,3,1,1,-0.2753450307425868,2,-0.4610176807647951,0
4,4446,0,0,0,0.8642877690133698,0,1.989103472838478,0
5,6774,1,1,0,-0.37237898289572086,1,1.7915998749291322,0
0,3945,2,0,0,-0.7089009871714834,0,1.0505266264214876,0
8,9318,1,0,0,0.6640262081866892,0,-0.8158616711386086,0
6,3240,1,1,0,-0.7089009871714834,1,-0.7516833531596809,0
8,7563,3,0,0,-0.5870924089366982,1,-0.9802409758975399,0
0,4218,2,1,0,1.3453284254320979,1,-0.5853165908117248,0
8,2077,1,0,1,-0.5003812176509189,0,0.5102694051382295,0
5,2398,3,1,0,2.7327074860045673,1,-0.6530557703043223,0
2,4620,0,1,0,-0.9566472479879957,0,-0.4370025682307446,0
6,6983,2,0,0,-0.9050334436512224,1,1.8124681796138937,0
6,7541,2,0,0,2.2681832469736065,1,0.26018099185260124,0
8,5819,3,0,0,0.8704814255337828,2,-0.8505593682136677,0
0,7105,2,0,0,-0.7770312088960243,0,-0.9657490976442336,0
5,7010,0,0,0,-0.7316110610796638,1,0.7615999794169983,0
4,7802,1,0,1,1.4588787949729995,0,-0.590368045517163,0
6,2257,1,0,0,0.21808293871696696,1,-0.8742432378162139,0
6,6393,1,1,1,-0.7935476262837918,1,-0.9496838154662827,0
2,6489,0,0,0,-0.752256582814373,1,0.06474766226515667,0
3,8889,3,0,0,-0.9215498610389898,0,0.05787437143644559,0
8,4141,1,1,0,0.03433779527805352,1,-0.5984006866061385,0
2,8736,3,1,0,1.1017112689625275,2,-0.29614151160860763,0
0,4678,0,1,0,-0.5189621872121573,2,-0.7660924206801113,0
2,7100,3,1,0,-0.09779354382408632,0,0.5220285292066267,0
2,4861,0,0,0,-0.820386804538914,2,1.1004614983457373,0
4,7756,3,0,0,-0.4425737567937326,1,1.1530463137220202,0
8,5482,2,0,0,-0.6159961393652913,1,0.16776421396294527,0
9,5765,0,0,1,-0.29599055247729616,2,-0.5117392546513669,0
2,2239,1,0,0,-0.9896800827635308,0,-0.5224632445588137,0
6,9309,1,0,0,-0.5334140524264538,1,-0.4851570093981595,0
2,2471,0,0,0,0.2593739821863857,2,1.3274457171589515,0
9,9291,3,0,0,-0.04824429166078381,1,-0.9579648887538862,0
3,6340,1,0,0,-0.09366443947714435,2,-0.34027963223153473,0
6,9761,0,0,0,-0.7790957610694952,1,-0.7781827876800123,0
3,3732,1,1,0,-0.9256789653859316,1,-1.0240478535889628,0
7,4698,3,0,0,-0.8596132958348617,1,0.7770027757319411,0
4,8092,3,0,0,0.21601838654349606,1,1.1891517932559714,0
6,7687,2,0,1,-0.9649054566818795,1,-0.7536708107487059,0
7,9927,1,0,0,1.7024959514425697,0,0.4231525141526399,0
3,3741,3,1,0,-0.7233528523857801,0,-0.5690856871680219,0
0,5296,3,0,0,-0.7873539697633789,1,0.5839709573979014,0
3,1643,1,1,0,-0.11224540903838294,1,-0.2982945906633846,0
4,8525,0,0,1,1.6281720731976164,0,0.5666635142268102,0
0,7379,1,0,0,-0.4508319654876164,0,-0.6200970986196599,0
6,2831,1,0,0,0.6351224777580959,2,-0.7603784801116646,0
3,2411,3,0,0,-0.9710991132022923,2,1.7612083359636275,0
5,7153,3,0,0,-0.31457152203853456,1,-0.6725162925301906,0
3,6566,1,1,0,-0.6696744958755356,0,-0.8515530970081802,0
5,2878,0,1,0,-0.9566472479879957,2,-0.05110455302841758,0
4,2740,3,1,0,-0.8781942653961002,1,-0.8955255961653552,0
9,6447,3,0,0,0.011627721369873341,1,-0.12455767308946136,0
4,4070,1,0,1,0.18505010394143195,2,-0.5617155319420547,0
6,4936,2,0,0,-0.915356204518577,0,-0.16472087853433878,0
1,6329,3,0,0,0.20363107350267035,2,-0.09354505362738584,0
6,4485,2,0,0,-0.6283834524061169,0,-0.30284918097156655,0
6,9858,0,0,0,-0.16385921337515633,1,0.2892889644585278,0
9,4303,2,0,0,-0.463219278528442,1,-0.49480445977821774,0
5,7038,3,0,1,-0.6552226306612391,0,-0.3531152958273204,0
6,5070,3,0,0,-0.886452474089984,1,0.2839476721880236,0
8,6978,2,0,0,-0.042050635140370954,1,-0.5775323819213775,0
9,7509,2,1,0,-0.5994797219775239,0,-0.3665306345532381,0
8,9741,0,1,0,-0.9298080697328737,0,-0.17076606203428932,0
3,4996,3,1,0,-0.5003812176509189,0,-0.3020210736428062,0
8,5578,3,0,0,-0.9649054566818795,0,2.489942785272743,0
6,7318,3,0,0,-0.7047718828245415,1,-0.41605145281310757,0
7,6357,3,0,0,-0.4983166654774479,0,0.6937779891915251,0
9,6747,2,0,1,-0.9380662784267574,2,-0.6740068857219593,0
3,9441,2,1,0,-0.8265804610593268,1,-0.495632567106978,0
4,8688,1,0,0,-0.3496689089875405,0,-0.05226390328868197,0
2,7570,2,0,1,-0.19689204815069125,1,-0.7493646526391519,0
2,4238,1,0,0,1.4836534210546506,0,-0.8758166417408587,0
4,5655,2,1,0,-0.59122151328364,1,-0.5107869312232926,0
6,9330,2,0,0,0.7878993385949453,1,0.786318983180495,0
3,5461,1,1,0,0.24905122131903087,1,-0.654794795694719,0
1,8264,2,0,1,0.4885392734416595,2,-0.7246042435092171,0
6,9823,3,0,0,0.42040905171711856,1,1.825717896874059,0
9,7584,2,1,0,-0.23405398727316815,2,-0.8798743676517844,0
9,4424,3,0,0,-0.3393461481201858,2,-0.3261604022761706,0
0,8919,3,0,0,-1.0000028436308854,2,-0.7661752314129872,0
0,3541,0,0,0,-0.050308843834254706,1,-0.40764616342619,0
2,3651,3,0,0,-0.7605147915082568,2,0.8369163409677531,0
6,9833,0,0,0,0.5649277038600842,1,-1.1120756626361892,0
9,6389,1,0,0,0.7631247125132942,2,-0.6251485533250981,0
2,5432,0,0,0,-0.9958737392839434,1,-0.7549129717418464,0
3,4344,0,0,1,-0.4983166654774479,1,-0.9220250306856866,0
1,5295,2,0,0,-0.7233528523857801,1,0.848716870402588,0
9,5796,1,1,1,-0.2774095829160578,0,-0.6528073381056941,0
4,2325,1,0,1,-0.719223748038838,1,-0.5653592041886002,0
6,8972,2,0,0,-0.4487674133141455,0,0.33148103285886826,0
1,3376,0,0,0,-0.9607763523349375,2,-1.0389537855066493,0
1,1156,0,0,1,1.248294473278964,1,0.07758332586094233,0
9,1943,2,0,0,-0.9318726219063446,2,-0.12435064625727128,0
1,8101,0,0,0,-0.5519950219876923,1,0.47888413737821195,0
5,6749,2,0,0,-0.1370200351200342,1,-0.9796613007674077,0
4,3970,1,0,1,0.3316333082578684,0,1.6432030416152763,0
8,8104,0,0,0,-0.33315249159977306,1,-0.66647110903024,0
3,2395,2,0,1,-0.8843879219165129,2,-0.5475548966202525,0
9,4331,2,0,1,2.4436701817186357,0,0.36083743766342286,0
5,4665,3,0,1,0.16440458220672266,1,-0.12902945266476729,0
4,7944,1,1,0,0.7878993385949453,0,0.4955290946862953,0
4,6834,0,0,0,-0.8575487436613908,2,0.6257075667674237,0
6,5548,3,0,0,-0.18450473510986562,2,0.4622391800701288,0
1,2165,3,1,0,-0.21134391336498778,0,-0.5374519872093761,0
5,4379,1,0,0,2.251666829585839,2,0.282705511194883,0
0,4163,1,0,0,-0.3971536089773721,1,-0.41431242742271085,0
2,2457,3,1,0,-0.65728718283471,0,-0.7433194691392013,0
9,9604,3,1,0,-0.6634808393551228,0,-0.9919172892330609,0
6,4564,0,0,0,-0.37031443072224984,1,-0.3797803518134039,0
5,3561,0,0,0,-0.7625793436817278,2,2.849672608886243,0
8,4715,2,0,0,2.0204369861570943,0,0.005041123861534746,0
6,4151,3,0,1,2.297086977402199,1,-0.47045810431266305,0
6,4853,0,1,0,-0.34141070029365683,0,-0.010361672453407801,0
3,4641,1,0,0,0.7404146386051137,2,0.2746728701059075,0
0,2861,1,0,0,-0.7316110610796638,0,-0.6947095689409682,0
5,7384,0,0,1,-0.8038703871511464,1,0.22548329477754225,0
3,7725,3,0,1,-0.042050635140370954,2,-0.6085035960170149,0
7,5627,2,0,0,-0.03585697861995828,2,-0.6334296266127017,0
7,2582,1,1,0,1.2648108906667317,0,1.6359156971221853,0
0,5555,3,0,0,-0.7729021045490825,1,-0.849068775021899,0
8,1022,1,0,0,-0.28360323943647053,2,-0.16811611858225622,0
9,6013,0,0,0,0.4348609169314152,1,0.7298006579926007,0
4,2987,3,1,0,2.0534698209326296,2,2.951115756659387,0
5,4492,3,0,1,-1.0082610523247693,0,-0.022866093117689376,0
0,2494,0,0,0,0.1747273430740773,2,0.6899686954792275,0
5,7499,0,1,1,0.06324152570664675,1,-0.3344000701973362,0
8,4386,3,0,0,-0.47767114374273856,1,-0.4144780488884629,0
3,6914,2,0,0,0.4678937517069502,2,-0.33986557856715455,0
0,7839,3,1,0,-0.08334167860978971,1,-0.13764176888387497,0
6,5825,2,0,0,2.9061298685761257,1,-0.030567491275160535,0
6,4202,1,0,0,-0.820386804538914,1,0.15782692601782106,0
5,2028,1,0,0,-0.23611853944663902,0,-0.3803600269435361,0
5,5092,1,0,1,0.5649277038600842,2,0.9694549189358485,0
4,9276,2,1,1,-0.41779913071208136,0,0.8660243135736796,0
3,9307,1,0,0,0.15201726916589695,0,-0.5640342324625837,0
6,7882,3,0,0,0.050854212665821026,1,-0.29961956238940113,0
3,3232,2,0,0,-0.3496689089875405,1,-0.7690736070636485,0
0,7437,0,0,0,-0.3104424176915927,1,-0.7433194691392013,0
2,5811,0,1,0,-0.820386804538914,1,-0.5126915780794414,0
3,8192,2,1,0,-0.9298080697328737,2,-0.6049427345033453,0
4,2399,2,0,0,-0.4879939046100933,1,0.4354085026182931,0
3,1760,3,0,0,-0.981421874069647,1,1.5991477317252254,0
2,9776,3,0,0,-0.45702562200802915,1,1.1637288982630285,0
3,3339,2,0,0,0.5277657647376074,1,-0.9967203117398711,0
2,2933,0,1,0,-0.9772927697227051,0,0.6399510128221019,0
6,2715,3,1,0,-0.3971536089773721,1,-0.3261189969097326,0
2,8865,1,0,1,-0.5251558437325701,1,-0.6106566750717918,0
7,4534,1,1,1,-0.8596132958348617,1,0.00015529062184860162,0
7,3967,0,1,0,-0.7914830741103208,1,-0.9698896342880354,0
9,7579,2,0,1,-0.07095436556896417,2,-0.9645069366510931,0
0,5491,3,0,0,-0.025534217752603634,1,-0.025184793638218392,0
9,7205,1,0,0,0.25111577349250197,0,2.0967574255773247,0
9,9982,2,0,1,0.8168030690235385,1,-1.0963416233897423,0
1,9331,1,0,0,0.39150532128852555,1,-0.40321578921732204,0
6,1667,2,1,1,-0.7852894175899081,0,-1.0740655362460887,0
7,9961,0,0,1,-0.5437368132938085,0,-0.2502643655952838,0
3,5733,3,0,0,0.08595159961482693,1,-0.6749178037835957,0
2,8218,1,0,0,-0.5664468872019888,0,-0.2128339143353155,0
3,1260,3,0,0,-0.9587118001614666,2,-0.6774021257698768,0
7,6458,3,0,1,0.47408740822736306,2,0.4665039328132447,0
8,5912,3,1,0,0.20569562567614122,2,0.37710974667356395,0
0,6743,1,1,0,0.5649277038600842,0,-0.05011082423390511,0
2,4689,0,1,0,0.23047025175779248,1,-0.5525235405928147,0
1,7471,1,0,0,0.800286651635771,1,-0.9915032355686807,0
8,7584,0,0,0,0.6062187473295029,1,-0.6499917731879089,0
7,3080,2,0,0,-0.5705759915489307,0,-0.717068466817498,0
1,2102,2,0,0,-0.004888696017894162,0,-0.28752919538949995,0
4,2979,2,0,0,0.17679189524754818,0,-0.22028688029415877,0
7,5382,3,0,0,-0.8286450132327977,0,-0.9519197052539357,0
7,4388,0,0,0,-0.47767114374273856,0,1.104353602790911,0
6,7315,2,1,0,-0.6593517350081809,2,0.19177932649699572,0
5,1102,2,0,0,-0.3827017437630755,2,-0.571735630620055,0
8,2953,1,0,0,-0.4983166654774479,2,0.4551174570427896,0
7,5433,3,1,1,0.017821377890286018,2,0.4298601835155988,0
1,6232,1,1,0,-0.2546995090078774,0,-0.15917255943164435,0
9,7882,1,0,1,-0.36824987854877894,2,-0.38781299290237936,0
2,1634,0,0,0,-0.5272203959060411,1,1.146338644359061,0
7,7251,3,0,0,0.6908653864418112,0,0.01000976783409685,0
3,4474,1,1,0,0.8498359037990735,2,-0.5966616612157418,0
6,8833,0,0,0,-0.1535364525078015,1,0.28432032048596567,0
0,3247,0,0,1,-0.8843879219165129,2,0.7940617867044044,0
6,1014,3,0,0,-0.37444353506919176,0,-0.7595503727829043,0
4,1024,3,0,0,-1.012390156671711,1,2.2845721677401745,0
7,5274,3,0,0,-0.23818309162011,0,1.2008281065914927,0
1,8232,3,0,0,-0.8699360567022165,1,-0.7112717155161755,0
3,7831,1,1,0,-0.6490289741408263,2,0.024253213888775133,0
3,3356,1,0,1,0.8477713516256022,0,-0.5078885555726314,0
3,7804,0,0,0,-0.12876182642615044,0,0.0567150211761812,0
4,4635,3,1,1,-0.22992488292622626,1,0.19244181236000388,0
6,1457,2,1,0,0.602089642982561,1,0.09364860803889326,0
5,7237,0,0,0,1.8181108731569426,1,0.4249743502759127,0
4,2875,0,0,0,0.9675153776869165,2,0.8697507965531014,0
6,7867,0,1,1,-0.7976767306307336,0,-0.9169735759802485,0
2,8187,3,0,0,2.367281751300211,0,1.84178317905201,0
9,8858,2,1,0,0.3646661430334034,1,2.2187376351037256,0
5,3645,1,0,0,0.5484112864723166,1,-0.028538628319697723,0
6,9968,0,0,1,0.32131054739051373,0,1.8932914549009046,0
9,2635,1,1,0,-0.8162577001919721,0,1.9061271184966901,0
3,7563,1,1,0,-0.7481274784674312,1,0.6100563382538527,0
1,7149,2,0,1,1.863531020973303,0,-0.5870556162021217,0
8,6729,3,0,0,-0.26915137422217406,0,-0.4765860985454898,0
7,1902,0,0,0,-0.9938091871104726,1,-0.984961187671474,0
8,3727,3,0,0,-0.7130300915184252,0,-0.6166190478388665,0
6,1304,2,1,0,-0.4879939046100933,1,-0.03744078210387161,0
4,4309,3,0,0,1.743786994911989,0,0.7589500359649656,0
0,9002,3,0,0,-0.09159988730367347,0,0.338023080756075,0
8,3281,2,0,0,-0.5829633045897563,2,0.4022842094678788,0
8,2357,3,0,0,-0.3620562220283661,1,0.23285345000350957,0
9,9132,1,0,0,0.9860963472481553,1,-0.06443708102145923,0
7,9763,0,1,0,-0.5375431567733957,0,-0.5450705746339715,0
4,5260,1,0,0,-0.41986368288555237,1,-1.0603189545886667,0
8,7228,3,0,0,-0.7708375523756115,1,-0.8654653001313543,0
5,8183,3,1,0,-0.2918614481303543,1,-0.3612307476491718,0
8,3449,0,0,0,0.3398915169517521,2,1.0835681088390257,0
7,7272,0,0,0,-0.5354786045999248,0,-0.47989852786053117,0
9,1543,0,1,1,-0.5086394263448025,1,-0.8527952580013208,0
9,7955,1,0,0,-0.7852894175899081,2,-0.34027963223153473,0
3,8520,0,0,1,-0.2815386872629997,0,-0.3098880932660297,0
4,3172,3,1,0,-0.820386804538914,0,-0.27949655430052445,0
8,4784,2,0,1,-0.9649054566818795,2,2.099490179762234,0
6,2574,1,0,0,-0.28566779160994155,0,-0.5761245994624848,0
8,3810,2,0,0,-1.0061965001512982,0,0.8690469053236549,0
4,3676,0,1,0,0.32131054739051373,1,-1.0211494779383015,0
6,5640,0,0,1,-0.6077379306714075,0,-0.3114614971906743,0
2,4608,1,1,0,-0.19689204815069125,0,-0.4604380056346628,0
0,3717,1,0,0,-0.8781942653961002,1,0.1825873351477556,0
2,1032,3,0,0,0.4513773343191827,1,-0.562709260736567,0
4,7913,0,0,0,-0.8926461306103967,2,-0.5505360830037898,0
3,8031,2,0,0,-0.2443767481405228,0,-0.17656281333561183,0
7,7898,2,0,0,1.3350056645647435,0,-0.8763135061381149,0
8,2927,3,0,1,0.5463467342988457,0,0.18797003278469798,0
0,1522,1,0,0,-0.3971536089773721,1,-0.8136257813509556,0
4,8210,1,0,0,-0.6325125567530587,0,-0.897347432288628,0
3,5835,2,0,0,1.0129355255032773,0,1.4361762094251866,0
6,4729,2,0,0,-0.59122151328364,2,-0.883683661364082,0
4,9089,3,0,1,0.5814441212478516,1,-0.6687898095507689,0
0,3166,2,0,0,-0.9029688914777515,2,-0.026716792196424977,0
3,9697,1,1,1,0.4224736038905897,1,-1.0623064121776913,0
7,2252,1,0,0,-0.7439983741204893,2,-0.5361270154833596,0
0,5818,1,1,0,-0.758450239334786,0,-0.2313835184995476,0
3,1961,1,0,1,-0.3476043568140696,0,-0.8234802585632041,0
5,6933,0,1,0,0.2263411474108507,1,0.7406488639993614,0
1,4560,2,0,0,0.12930719525771658,1,-0.12770448093875075,0
1,4146,2,1,0,-1.0041319479778272,0,-0.007132053871242517,0
5,8714,3,0,1,1.770626173167111,0,1.1696084602972272,0
8,3381,1,1,1,0.5153784516967816,0,-0.4465258025114888,0
4,8605,2,1,0,0.9819672429012132,2,-0.3591604793272709,0
3,9449,0,1,1,0.019885930063757093,0,-1.0411068645614263,0
0,8034,0,1,0,-0.02966332209954542,1,-0.1560257515823549,0
2,4269,1,1,0,-0.12050361773226669,2,1.5844074212732908,0
6,1332,3,0,0,-0.24644130031399367,0,-0.38739893923799923,0
7,6452,3,1,0,-0.5808987524162853,0,0.7195321271159721,0
2,7517,1,1,1,0.18711465611490283,0,-0.9283186463842654,0
5,3774,3,0,0,-0.4157345785386105,2,-0.3584151827313867,0
6,4787,2,0,0,-0.9938091871104726,0,-0.6423731857633136,0
7,1510,3,0,0,-0.4797356959162095,2,-0.8724214016929412,0
1,8346,1,0,0,0.25111577349250197,0,-0.29630713307435974,0
2,1705,2,1,1,-0.7439983741204893,0,0.5393359723777182,0
3,5485,1,0,0,0.6351224777580959,2,-0.16360293364051226,0
1,9181,2,1,1,0.5029911386559561,1,-0.8715104836313048,0
9,9974,1,1,0,-0.8658069523552745,0,2.2173298526448333,0
7,3865,0,0,1,-0.911227100171635,0,-0.8061728153921125,0
1,4190,0,0,0,1.2400362645850802,1,-0.7436507120707054,0
2,2129,0,0,0,-0.7233528523857801,1,0.19832137439420247,0
6,6976,2,0,1,-0.054437948181196676,0,-0.7311462914064241,0
7,6464,0,0,0,-0.2753450307425868,0,-0.8640575176724615,0
2,5459,0,0,0,0.5401530777784329,0,-0.904469155315967,0
0,6210,0,1,0,-0.5870924089366982,2,-0.8318441425836837,0
4,2114,0,0,0,0.003369512675989589,0,-0.29332594669082246,0
5,9170,0,1,1,1.853208260105948,1,-0.7566519971322431,0
0,7429,1,0,0,-0.41986368288555237,1,-0.6880847103108854,0
9,6622,1,1,0,-0.05650250035466756,1,-0.3082318786085089,0
7,7163,2,0,0,-0.9545826958145249,1,-1.0235509891917067,0
6,2452,1,0,0,-0.9504535914675829,0,-0.31535360163584797,0
1,5448,0,1,0,-0.2712159263956449,0,-0.4280590090801328,0
8,8236,1,0,1,-0.41779913071208136,0,-0.5721496842844351,0
7,6091,0,0,0,-0.9298080697328737,2,-0.8392971085425268,0
9,2080,3,1,0,-0.595350617630582,2,-0.8879070087407598,0
1,5932,1,1,1,1.5146217036567147,2,-0.8499796930835355,0
1,9737,2,0,1,-0.9339371740798154,1,-0.6168674800374946,0
8,1289,0,0,0,-0.6634808393551228,2,-0.28363709094432626,0
1,6972,1,0,1,0.12104898656383282,0,-0.15743353404124755,0
3,9164,0,0,0,-0.8720006088756873,0,1.1421981077152594,0
3,3557,2,1,0,1.409329542809697,1,-0.7598816157144086,0
